"algorithm","policy_type","traj_mapping_method","reward_period","drop_truncated_feedback_episodes","discount_factor","learning_rate","epsilon","algorithm_args"
"q-learning","single-step","identity-mapper","1",false,0.99,0.1,0.1,"{}"
"q-learning","single-step","daaf-impute-missing-reward-mapper","2",false,1.0,0.1,0.1,"{}"
"q-learning","single-step","daaf-impute-missing-reward-mapper","2",false,0.99,0.1,0.1,"{}"
"q-learning","single-step","daaf-impute-missing-reward-mapper","4",false,1.0,0.1,0.1,"{}"
"q-learning","single-step","daaf-impute-missing-reward-mapper","4",false,0.99,0.1,0.1,"{}"
"q-learning","single-step","daaf-impute-missing-reward-mapper","6",false,1.0,0.1,0.1,"{}"
"q-learning","single-step","daaf-impute-missing-reward-mapper","6",false,0.99,0.1,0.1,"{}"
"q-learning","single-step","daaf-impute-missing-reward-mapper","8",false,1.0,0.1,0.1,"{}"
"q-learning","single-step","daaf-impute-missing-reward-mapper","8",false,0.99,0.1,0.1,"{}"
"q-learning","single-step","daaf-impute-missing-reward-mapper","16",false,1.0,0.1,0.1,"{}"
"q-learning","single-step","daaf-impute-missing-reward-mapper","16",false,0.99,0.1,0.1,"{}"
"q-learning","options","daaf-mdp-with-options-mapper","2",false,1.0,0.1,0.1,"{}"
"q-learning","options","daaf-mdp-with-options-mapper","2",false,0.99,0.1,0.1,"{}"
"q-learning","options","daaf-mdp-with-options-mapper","4",false,1.0,0.1,0.1,"{}"
"q-learning","options","daaf-mdp-with-options-mapper","4",false,0.99,0.1,0.1,"{}"
"q-learning","options","daaf-mdp-with-options-mapper","6",false,1.0,0.1,0.1,"{}"
"q-learning","options","daaf-mdp-with-options-mapper","6",false,0.99,0.1,0.1,"{}"
"q-learning","single-step","daaf-lsq-reward-attribution-mapper","2",false,1.0,0.1,0.1,"{}"
"q-learning","single-step","daaf-lsq-reward-attribution-mapper","2",false,0.99,0.1,0.1,"{}"
"q-learning","single-step","daaf-lsq-reward-attribution-mapper","4",false,1.0,0.1,0.1,"{}"
"q-learning","single-step","daaf-lsq-reward-attribution-mapper","4",false,0.99,0.1,0.1,"{}"
"q-learning","single-step","daaf-lsq-reward-attribution-mapper","6",false,1.0,0.1,0.1,"{}"
"q-learning","single-step","daaf-lsq-reward-attribution-mapper","6",false,0.99,0.1,0.1,"{}"
"q-learning","single-step","daaf-lsq-reward-attribution-mapper","8",false,1.0,0.1,0.1,"{}"
"q-learning","single-step","daaf-lsq-reward-attribution-mapper","8",false,0.99,0.1,0.1,"{}"
"q-learning","single-step","daaf-lsq-reward-attribution-mapper","16",false,1.0,0.1,0.1,"{}"
"q-learning","single-step","daaf-lsq-reward-attribution-mapper","16",false,0.99,0.1,0.1,"{}"
"nstep-sarsa","single-step","identity-mapper","1",false,1.0,0.1,0.1,"{""nstep"":1}"
"nstep-sarsa","single-step","identity-mapper","1",false,0.99,0.1,0.1,"{""nstep"":1}"
"nstep-sarsa","single-step","identity-mapper","1",false,1.0,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","single-step","identity-mapper","1",false,0.99,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","single-step","identity-mapper","1",false,1.0,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","single-step","identity-mapper","1",false,0.99,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","single-step","identity-mapper","1",false,1.0,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","single-step","identity-mapper","1",false,0.99,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","single-step","identity-mapper","1",false,1.0,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","single-step","identity-mapper","1",false,0.99,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","2",false,1.0,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","2",false,0.99,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","2",false,1.0,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","2",false,0.99,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","2",false,1.0,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","2",false,0.99,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","2",false,1.0,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","2",false,0.99,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","4",false,1.0,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","4",false,0.99,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","4",false,1.0,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","4",false,0.99,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","4",false,1.0,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","4",false,0.99,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","4",false,1.0,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","4",false,0.99,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","6",false,1.0,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","6",false,0.99,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","6",false,1.0,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","6",false,0.99,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","6",false,1.0,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","6",false,0.99,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","6",false,1.0,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","6",false,0.99,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","8",false,1.0,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","8",false,0.99,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","8",false,1.0,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","8",false,0.99,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","8",false,1.0,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","8",false,0.99,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","8",false,1.0,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","single-step","daaf-impute-missing-reward-mapper","8",false,0.99,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","2",false,1.0,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","2",false,0.99,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","2",false,1.0,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","2",false,0.99,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","2",false,1.0,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","2",false,0.99,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","2",false,1.0,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","2",false,0.99,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","4",false,1.0,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","4",false,0.99,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","4",false,1.0,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","4",false,0.99,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","4",false,1.0,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","4",false,0.99,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","4",false,1.0,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","4",false,0.99,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","6",false,1.0,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","6",false,0.99,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","6",false,1.0,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","6",false,0.99,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","6",false,1.0,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","6",false,0.99,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","6",false,1.0,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","6",false,0.99,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","8",false,1.0,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","8",false,0.99,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","8",false,1.0,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","8",false,0.99,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","8",false,1.0,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","8",false,0.99,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","8",false,1.0,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","options","daaf-impute-missing-reward-mapper","8",false,0.99,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","single-step","daaf-nstep-td-update-mark-mapper","2",false,1.0,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","single-step","daaf-nstep-td-update-mark-mapper","2",false,0.99,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","single-step","daaf-nstep-td-update-mark-mapper","4",false,1.0,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","single-step","daaf-nstep-td-update-mark-mapper","4",false,0.99,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","single-step","daaf-nstep-td-update-mark-mapper","6",false,1.0,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","single-step","daaf-nstep-td-update-mark-mapper","6",false,0.99,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","single-step","daaf-nstep-td-update-mark-mapper","8",false,1.0,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","single-step","daaf-nstep-td-update-mark-mapper","8",false,0.99,0.1,0.1,"{""nstep"":8}"
"nstep-sarsa","options","daaf-nstep-td-update-mark-mapper","2",false,1.0,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","options","daaf-nstep-td-update-mark-mapper","2",false,0.99,0.1,0.1,"{""nstep"":2}"
"nstep-sarsa","options","daaf-nstep-td-update-mark-mapper","4",false,1.0,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","options","daaf-nstep-td-update-mark-mapper","4",false,0.99,0.1,0.1,"{""nstep"":4}"
"nstep-sarsa","options","daaf-nstep-td-update-mark-mapper","6",false,1.0,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","options","daaf-nstep-td-update-mark-mapper","6",false,0.99,0.1,0.1,"{""nstep"":6}"
"nstep-sarsa","single-step","daaf-lsq-reward-attribution-mapper","2",false,1.0,0.1,0.1,"{}"
"nstep-sarsa","single-step","daaf-lsq-reward-attribution-mapper","2",false,0.99,0.1,0.1,"{}"
"nstep-sarsa","single-step","daaf-lsq-reward-attribution-mapper","4",false,1.0,0.1,0.1,"{}"
"nstep-sarsa","single-step","daaf-lsq-reward-attribution-mapper","4",false,0.99,0.1,0.1,"{}"
"nstep-sarsa","single-step","daaf-lsq-reward-attribution-mapper","6",false,1.0,0.1,0.1,"{}"
"nstep-sarsa","single-step","daaf-lsq-reward-attribution-mapper","6",false,0.99,0.1,0.1,"{}"
"nstep-sarsa","single-step","daaf-lsq-reward-attribution-mapper","8",false,1.0,0.1,0.1,"{}"
"nstep-sarsa","single-step","daaf-lsq-reward-attribution-mapper","8",false,0.99,0.1,0.1,"{}"
